"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C10,C11,C16,C17","10u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","6",""
"C3,C4,C5","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C6,C7,C12,C13,C18,C19","100n","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","6",""
"C8,C9,C14,C15,C20,C21","33u","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","6",""
"D1,D2,D3,D4","LED","~","LED_THT:LED_D3.0mm_Clear","4",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_5mm","4",""
"J4,J8,J9,J17,J21","Conn_01x02_Socket","~","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.8mm_D0.9mm_OD2.3mm","5",""
"J5,J6,J7,J14","Conn_01x03_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","4",""
"J10,J11","Conn_01x06_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","2",""
"J12,J18,J19,J20","Conn_01x04_Socket","~","-- mixed values --","4",""
"JP1,JP2,JP3","SolderJumper_2_Open","~","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","3",""
"L1","4.7u","~","Inductor_SMD:L_1008_2520Metric","1",""
"L2","6.8u","~","Inductor_SMD:L_1008_2520Metric","1",""
"L3","5.6u","~","Inductor_SMD:L_1008_2520Metric","1",""
"R1,R2,R3,R10","4.7k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R4","31.1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R5,R7,R9","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R6","53.6k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R8","52.3k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","1",""
"TP1,TP2,TP3,TP4,TP5,TP6","TestPoint","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","6",""
"U1,U2,U5","TPS56339DDC","https://www.ti.com/lit/ds/symlink/tps56339.pdf","Package_TO_SOT_SMD:SOT-23-6","3",""
"U3","STM32F103C8Tx","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf","Package_QFP:LQFP-48_7x7mm_P0.5mm","1",""
"U4,U6","CD74HC00_N_14","","Package_DIP:DIP-14_W7.62mm_LongPads","2",""
